link,title
https://www.flipkart.com/fibermill-men-solid-formal-grey-shirt/p/itm5297ccc042b53?pid=SHTGBXYVPFPUCFG3&lid=LSTSHTGBXYVPFPUCFG3E0EVUQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_1&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxhi8O357L7bD8%2BPIZpJ%2FIAu0dF4S9DwVZKzLU0vpZkzmA%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Regular Fit Solid Spread Collar Formal Shirt
https://www.flipkart.com/ausk-color-block-men-polo-neck-blue-red-white-t-shirt/p/itmddb9234e0bdba?pid=TSHGHZDZJSC6GFJR&lid=LSTTSHGHZDZJSC6GFJRJTMEOB&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_2&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxjC4ahdQ4LSFQY8sRbjEAFAY%2FNE3BN8E2ZsYwGBt9tn0Q%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Color Block Polo Neck Blue, Red, White T-Shirt"
https://www.flipkart.com/smartees-printed-men-round-neck-dark-blue-t-shirt/p/itm136544d1e2c82?pid=TSHGFS4P9JFABGRB&lid=LSTTSHGFS4P9JFABGRBC5SNWX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_3&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGFS4P9JFABGRB.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Dark Blue T-Shirt
https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-light-blue-t-shirt/p/itm0f2494eef7d30?pid=TSHGKRPJNQGMYWN2&lid=LSTTSHGKRPJNQGMYWN2GWNIUZ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_4&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGKRPJNQGMYWN2.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Light Blue T-Shirt
https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9JJXDYYQX&lid=LSTTSHGBBN9JJXDYYQX6QRRYG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGBBN9JJXDYYQX.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Solid Polo Neck Green T-Shirt
https://www.flipkart.com/blive-striped-men-round-neck-dark-blue-red-t-shirt/p/itm481c77db8af7a?pid=TSHGMGJNKPY6Q3WD&lid=LSTTSHGMGJNKPY6Q3WDWHXMAP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_6&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGMGJNKPY6Q3WD.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Pack of 2 Men Striped Round Neck Dark Blue, Red T-Shirt"
https://www.flipkart.com/farbot-color-block-men-round-neck-black-t-shirt/p/itme72f0ce32fb00?pid=TSHG75MPXBFH8KTJ&lid=LSTTSHG75MPXBFH8KTJJQ0VLQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_7&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHG75MPXBFH8KTJ.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Color Block Round Neck Black T-Shirt
https://www.flipkart.com/ausk-color-block-men-polo-neck-dark-blue-black-t-shirt/p/itmfc538dc4ab7bc?pid=TSHGMZZKPPDJZN3W&lid=LSTTSHGMZZKPPDJZN3WXH9HQ4&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_8&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=en_SINhtinHAYMsuFKo3hRc5y4OvAzF56mKln%2B%2B4AVkZxggAXaXMeLN1UjrEK%2B73tIq4oHUpPE0UrV%2FFxKx%2BqoJrw%3D%3D&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,"Men Color Block Polo Neck Dark Blue, Black T-Shirt"
https://www.flipkart.com/blive-printed-men-round-neck-yellow-t-shirt/p/itm578071f5ac354?pid=TSHGBKQGY2BJGNYE&lid=LSTTSHGBKQGY2BJGNYE0ZHMHN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_9&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGBKQGY2BJGNYE.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Printed Round Neck Yellow T-Shirt
https://www.flipkart.com/jugular-striped-men-round-neck-black-t-shirt/p/itm2176297609ffa?pid=TSHGFF84YKTPQN5E&lid=LSTTSHGFF84YKTPQN5EBZXODK&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L1_view-all&fm=organic&iid=42017b94-7adb-4ac2-ae0a-5f0ad964e0e2.TSHGFF84YKTPQN5E.SEARCH&ppt=None&ppn=None&ssid=vlwbq04pa80000001684576983172,Men Striped Round Neck Black T-Shirt
