Link,Description
https://www.zalando.co.uk/allsaints-cala-shirt-jet-black-a0q22d0on-q11.html,CALA - Shirt - jet black
https://www.zalando.co.uk/zign-print-t-shirt-whitelight-blue-zi121000u-a11.html,UNISEX - Button-down blouse - white/light blue
https://www.zalando.co.uk/jack-and-jones-jjejack-slim-fit-shirt-ja222d1jw-k11.html,JJEJACK SLIM FIT - Shirt - total eclipse
https://www.zalando.co.uk/jack-and-jones-jjejack-slim-fit-shirt-ja222d1jw-q11.html,JJEJACK SLIM FIT - Shirt - black
https://www.zalando.co.uk/pier-one-shirt-green--blue-pi922da3z-k12.html,Shirt - green / blue
https://www.zalando.co.uk/pier-one-shirt-dark-blue-bordeaux-pi922da1x-k11.html,Shirt - dark blue/bordeaux
https://www.zalando.co.uk/pier-one-shirt-bordeaux-pi922d07f-g11.html,Shirt - bordeaux
https://www.zalando.co.uk/pier-one-shirt-blackwhite-pi922d0ac-q11.html,Shirt - black/white
https://www.zalando.co.uk/pier-one-shirt-light-blue-pi922d0eb-k11.html,Shirt - light blue
https://www.zalando.co.uk/pier-one-shirt-black-pi922d09t-q11.html,Shirt - black
https://www.zalando.co.uk/tom-tailor-denim-shirt-original-to722d0eq-k11.html,Shirt - original
https://www.zalando.co.uk/jack-and-jones-jjbecs-shirt-cloud-dancer-ja222d28c-a12.html,JJBECS - Shirt - cloud dancer
https://www.zalando.co.uk/pier-one-shirt-dark-gray-pi922d0ad-c11.html,Shirt - dark gray
https://www.zalando.co.uk/redefined-rebel-rrflake-shirt-black-paisley-r0622d02v-q12.html,RRFLAKE  - Shirt - black paisley
https://www.zalando.co.uk/boss-relegant-6-formal-shirt-navy-bb122d1dq-k11.html,RELEGANT 6 - Formal shirt - navy
https://www.zalando.co.uk/pier-one-shirt-light-blue-pi922da24-k11.html,Shirt - light blue
https://www.zalando.co.uk/carlo-colucci-unisex-shirt-multicolor-cap21008o-t11.html,UNISEX - Shirt - multicolor
https://www.zalando.co.uk/versace-jeans-couture-print-logo-couture-shirt-whitegold-vei22d03l-a11.html,PRINT LOGO COUTURE - Shirt - white/gold
https://www.zalando.co.uk/tommy-hilfiger-monogram-oxford-shirt-shirt-white-to122d0x2-a12.html,MONOGRAM OXFORD SHIRT - Shirt - white
https://www.zalando.co.uk/twisted-tailor-orchid-shirt-whitepink-twc22d03h-a12.html,ORCHID - Shirt - white/pink
https://www.zalando.co.uk/allsaints-yacutan-shirt-jet-black-a0q22d0md-q11.html,YACUTAN  - Shirt - jet black
https://www.zalando.co.uk/pier-one-shirt-oliv-pi922d09s-n11.html,MUSCLE FIT STAND  - Shirt - oliv
https://www.zalando.co.uk/massimo-dutti-shirt-light-blue-m3i22d0uu-k11.html,MELANGE  - Shirt - light blue
https://www.zalando.co.uk/massimo-dutti-micro-stripe-shirt-light-blue-m3i22d0w7-k11.html,MICRO-STRIPE - Shirt - light blue
https://www.zalando.co.uk/only-and-sons-onstie-palm-shirt-bright-white-os322d0pj-a11.html,ONSTIE PALM  - Shirt - bright white
https://www.zalando.co.uk/boss-hank-kent-shirt-dark-blue-bb122d19s-k11.html,HANK KENT - Shirt - dark blue
https://www.zalando.co.uk/redefined-rebel-jackson-jacket-shirt-blackgrey-r0622t00x-c11.html,JACKSON JACKET - Shirt - black/grey
https://www.zalando.co.uk/pier-one-shirt-beige-pi922d0e3-b11.html,Shirt - beige
https://www.zalando.co.uk/allsaints-shibu-shirt-jet-black-a0q22d0mw-q11.html,SHIBU - Shirt - jet black
https://www.zalando.co.uk/abercrombie-and-fitch-icon-shirt-light-brown-solid-a0f22d03u-o11.html,ICON - Shirt - light brown solid
https://www.zalando.co.uk/only-and-sons-onsdan-life-shirt-shirt-silver-lining-os322d0j9-d11.html,ONSDAN LIFE SHIRT - Shirt - silver lining
https://www.zalando.co.uk/pier-one-shirt-dark-blue-pi922da24-k12.html,Shirt - dark blue
https://www.zalando.co.uk/only-and-sons-regular-fit-shirt-white-os322d03t-a11.html,ONSALVARO OXFORD SHIRT - Shirt - white
https://www.zalando.co.uk/hugo-jenno-formal-shirt-light-pastel-pink-hu722d02v-j14.html,JENNO - Formal shirt - light pastel pink
https://www.zalando.co.uk/massimo-dutti-slim-fit-shirt-blue-m3i22d0uy-k13.html,Shirt - blue
https://www.zalando.co.uk/jack-and-jones-jjetrekota-detail-formal-shirt-cashmere-blue-ja222d28j-k11.html,JJETREKOTA - Shirt - cashmere blue
https://www.zalando.co.uk/polo-ralph-lauren-oxford-shirt-po222d0j9-a11.html,OXFORD SLIM FIT - Shirt - white
https://www.zalando.co.uk/pier-one-shirt-black-pi922d0dv-q11.html,Shirt - black
https://www.zalando.co.uk/tommy-hilfiger-blackwatch-monogram-shirt-desert-skyhuntermulti-to122d0zm-k11.html,BLACKWATCH MONOGRAM  - Shirt - desert sky/hunter/multi
https://www.zalando.co.uk/pier-one-flower-resort-shirt-multicoloured-pi922d09u-t11.html,FLOWER RESORT - Shirt - multicoloured
https://www.zalando.co.uk/pier-one-shirt-white-pi922d0b1-a11.html,Shirt - white
https://www.zalando.co.uk/polo-ralph-lauren-print-shirt-flaming-po222d0pb-a11.html,SLIM FIT FLAMINGO-PRINT POPLIN SHIRT - Shirt - flaming
https://www.zalando.co.uk/pier-one-mens-shirt-dark-blue-pi922d04p-k11.html,Shirt - dark blue
https://www.zalando.co.uk/hugo-kenno-shirt-bright-red-hu722d0p3-g11.html,KENNO - Shirt - bright red
https://www.zalando.co.uk/tom-tailor-comfort-shirt-blueoff-white-to222d0y3-k11.html,COMFORT - Shirt - blue/off-white
https://www.zalando.co.uk/selected-homme-slhrelaxvero-shirt-mottled-light-grey-se622d1c2-c11.html,SLHRELAXVERO - Shirt - mottled light grey
https://www.zalando.co.uk/boss-rash-shirt-natural-bb122d195-a11.html,RASH - Shirt - natural
https://www.zalando.co.uk/antony-morato-shirt-london-in-soft-touch-easy-iron-shirt-white-a1822d082-a11.html,SHIRT LONDON IN SOFT TOUCH EASY IRON - Shirt - white
https://www.zalando.co.uk/levis-sunset-camp-shirt-birch-le222d08r-a11.html,SUNSET CAMP - Shirt - birch
https://www.zalando.co.uk/kaotiko-shirt-underground-unisex-shirt-ivory-kai2100dh-a11.html,SHIRT UNDERGROUND UNISEX - Button-down blouse - ivory
https://www.zalando.co.uk/pier-one-shirt-dark-green-pi922d09r-m11.html,Shirt - dark green
https://www.zalando.co.uk/hugo-elisha-formal-shirt-black-hu722d0og-q11.html,ELISHA - Formal shirt - black
https://www.zalando.co.uk/only-and-sons-onsalvaro-2-pack-shirt-black-os322d0nk-q11.html,ONSALVARO OXFORD 2 PACK - Shirt - black
https://www.zalando.co.uk/tommy-jeans-original-stretch-slim-fit-shirt-tob22d00r-k12.html,ORIGINAL STRETCH - Shirt - lavender lustre
https://www.zalando.co.uk/massimo-dutti-shirt-light-blue-m3i22d0ul-k11.html,REGULAR FIT STRIPED  - Shirt - light blue
https://www.zalando.co.uk/pier-one-2pack-formal-shirt-whitelight-blue-pi922d05k-a11.html,2 PACK - Formal shirt - white/light blue
https://www.zalando.co.uk/levis-classic-camper-shirt-bordeaux-le222d07q-g12.html,CLASSIC CAMPER - Shirt - bordeaux
https://www.zalando.co.uk/ck-calvin-klein-bari-slim-fit-shirt-ck122d00j-q11.html,BARI SLIM FIT - Formal shirt - black
https://www.zalando.co.uk/pier-one-shirt-beige-pi922d0ec-b11.html,Shirt - beige
https://www.zalando.co.uk/lindbergh-resort-shirt-off-white-lg522d08l-a11.html,RESORT - Shirt - off-white
https://www.zalando.co.uk/mango-avispa-shirt-himmelbla-m9122d2g0-k12.html,AVISPA - Shirt - himmelblå
https://www.zalando.co.uk/jack-and-jones-jjijeff-jjshirt-shirt-light-blue-denim-ja222d23g-k11.html,JJIJEFF JJSHIRT  - Shirt - light blue denim
https://www.zalando.co.uk/lindbergh-casual-blend-resort-shirt-white-lg522d06u-b12.html,RELAXED FIT CASUAL BLEND RESORT - Shirt - white
https://www.zalando.co.uk/polo-ralph-lauren-featherweight-shirt-lifeboat-green-po222p03w-m18.html,LONG SLEEVE - Shirt - optic green
https://www.zalando.co.uk/only-and-sons-onsneil-life-oxford-shirt-shirt-cashmere-blue-os322d0hk-k12.html,ONSNEIL LIFE OXFORD - Shirt - cashmere blue
https://www.zalando.co.uk/pier-one-shirt-white-pi922d0b0-a11.html,Shirt - white
https://www.zalando.co.uk/superdry-vintage-hawaiian-short-sleeve-shirt-dark-navy-hawaiian-su222d0mg-k13.html,VINTAGE HAWAIIAN SHORT SLEEVE  - Shirt - dark navy hawaiian
https://www.zalando.co.uk/redefined-rebel-remy-shirt-shirt-regal-orchid-r0622d03u-i11.html,REMY SHIRT - Shirt - regal orchid
https://www.zalando.co.uk/zign-unisex-shirt-black-zi1210025-q11.html,UNISEX - Shirt - black
https://www.zalando.co.uk/hugo-evito-shirt-dark-blue-hu722d0nh-k11.html,EVITO - Shirt - dark blue
https://www.zalando.co.uk/mango-oxford-shirt-navy-m9122d2ee-k11.html,OXFORD - Shirt - navy
https://www.zalando.co.uk/mango-parrot-shirt-donkermarine-m9122d2gq-k11.html,PARROT - Shirt - donkermarine
